,nom_mag,addresse,lat,long
148,Aldi Supermarché,"Rue de Wanfercée-Baulet 13
6224 Wanfercée-Baulet",50.4751842,4.5771952
149,Aldi Supermarkt,"Koolmijnlaan 400
3580 Beringen",51.0585001,5.222313
150,Aldi Supermarkt,"Tongersestraat 63
3740 Bilzen",50.8641751,5.5050928
151,Aldi Supermarkt,"Kaulillerweg 6
3950 Bocholt",51.17495455,5.5772034443485055
152,Aldi Supermarkt,"Tongersesteenweg 137B
3840 Borgloon",50.79981575,5.358978871052636
154,Aldi Supermarkt,"Steenweg 16 A
3590 Diepenbeek",50.913845800000004,5.408018524497976
155,Aldi Supermarkt,"Hoogbaan 24
3650 Dilsen",51.0404891,5.7312126
156,Aldi Supermarkt,"Layensweg 6
3630 Eisden",50.985271850000004,5.70232901209421
157,Aldi Supermarkt Guillaume Lambertlaan,"Guillaume Lambertlaan 117
3600 Genk",50.9929991,5.4948744
158,Aldi Supermarkt Hasseltweg,"Hasseltweg 74
3600 Genk",50.96419325,5.4681536365117465
159,Aldi Supermarkt Hoogstraat,"Hoogstraat 80-86
3600 Genk",50.9585102,5.5059027
161,Aldi Outletstore,"Hasseltweg 206
3600 Genk",50.96144425,5.452505091399621
162,Aldi Supermarkt,"Steenweg 137
3890 Gingelom",50.7510105,5.1340981
164,Aldi Supermarkt,"Stationsstraat 2A
3945 Ham",51.104709549999995,5.174793434927671
165,Aldi Supermarkt,"Bernard Kempplein 2 A
3930 Hamont",51.2508998,5.538849
166,Aldi Supermarkt Casterstraat,"Casterstraat 31A
3500 Hasselt",50.9287524,5.349652
